"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Пользователи","Регистрация","Ошибка при регистрации без email","0","0","1","0","0"
"Заказы","Создание заказа","Создание заказа с авторизацией","0","0","1","0","0"
"Пользователи","Регистрация","Регистрация нового уникального пользователя","0","0","1","0","0"
"Заказы","Создание заказа","Создание заказа без авторизации","0","0","1","0","0"
"Заказы","Создание заказа","Создание заказа с ингредиентами и авторизацией","0","0","1","0","0"
"Авторизация","Логин пользователя","Логин с некорректными данными","0","0","1","0","0"
"Авторизация","Логин пользователя","","0","0","1","0","0"
"Пользователи","Регистрация","Ошибка при регистрации уже существующего пользователя","0","0","1","0","0"
"Заказы","Создание заказа","Ошибка при отсутствии ингредиентов","0","0","1","0","0"
"Заказы","Создание заказа","Ошибка при неверном ингредиенте","0","0","1","0","0"
