"Status","Name","Duration in ms","Description"
"passed","praktikum.api.UserTests.createUserWithoutEmail","613","Проверяем, что регистрация без email невозможна и возвращается ошибка 403"
"passed","praktikum.api.OrderTests.createOrderWithAuth","4056","Регистрируем пользователя, авторизуемся и создаем заказ с ингредиентами"
"passed","praktikum.api.UserTests.createUniqueUser","812","Проверяем, что API позволяет зарегистрировать пользователя с уникальными данными"
"passed","praktikum.api.OrderTests.createOrderWithoutAuth","723","Проверяем, что API не позволяет создавать заказ без авторизации"
"passed","praktikum.api.OrderTests.createOrderWithIngredients","4003","Регистрируем пользователя, авторизуемся и проверяем успешное создание заказа с валидными ингредиентами"
"passed","praktikum.api.LoginTests.loginWithWrongPassword","2004","Проверяем, что система возвращает ошибку при попытке логина с неправильными учетными данными"
"passed","praktikum.api.LoginTests.loginWithValidUser","1830",""
"passed","praktikum.api.UserTests.createExistingUser","1636","Проверяем, что API не позволяет зарегистрировать пользователя с существующим email"
"passed","praktikum.api.OrderTests.createOrderWithoutIngredients","711","Проверяем, что API возвращает ошибку при попытке создать заказ без указания ингредиентов"
"passed","praktikum.api.OrderTests.createOrderWithInvalidIngredient","716","Проверяем, что при передаче некорректного идентификатора ингредиента возвращается ошибка 500"
